image_id,predicted_count,actual_count,count_error,fdr,fnr,f1
img000_20201027_Kaizu_TCA422_515x515,25,26,-0.038461538461538464,0.0,0.038461538461538464,0.9803921568627451
img002_20201027_Kaizu_TCA422_515x515,28,25,0.12,0.10714285714285714,0.0,0.9433962264150944
img003_20201027_Kaizu_TCA422_515x515,30,28,0.07142857142857142,0.06666666666666667,0.0,0.9655172413793104
img004_20201027_Kaizu_TCA422_515x515,26,24,0.08333333333333333,0.07692307692307693,0.0,0.96
img005_20201027_Kaizu_TCA422_515x515,23,22,0.045454545454545456,0.043478260869565216,0.0,0.9777777777777777
img006_20201027_Kaizu_TCA422_515x515,30,29,0.034482758620689655,0.03333333333333333,0.0,0.9830508474576272
img007_20201027_Kaizu_TCA422_515x515,30,29,0.034482758620689655,0.03333333333333333,0.0,0.9830508474576272
img008_20201027_Kaizu_TCA422_515x515,29,27,0.07407407407407407,0.06896551724137931,0.0,0.9642857142857143
img011_20201027_Kaizu_TCA422_515x515,28,28,0.0,0.0,0.0,1.0
img012_20201027_Kaizu_TCA422_515x515,28,27,0.037037037037037035,0.03571428571428571,0.0,0.9818181818181818
img013_20201027_Kaizu_TCA422_515x515,27,25,0.08,0.07407407407407407,0.0,0.9615384615384616
img014_20201027_Kaizu_TCA422_515x515,29,26,0.11538461538461539,0.10344827586206896,0.0,0.9454545454545454
img016_20201027_Kaizu_TCA422_515x515,25,24,0.041666666666666664,0.04,0.0,0.9795918367346939
img017_20201027_Kaizu_TCA422_515x515,31,30,0.03333333333333333,0.03225806451612903,0.0,0.9836065573770492
img018_20201027_Kaizu_TCA422_515x515,27,27,0.0,0.0,0.0,1.0
img021_20201027_Kaizu_TCA422_515x515,28,26,0.07692307692307693,0.10714285714285714,0.038461538461538464,0.9259259259259259
img022_20201027_Kaizu_TCA422_515x515,26,24,0.08333333333333333,0.07692307692307693,0.0,0.96
img023_20201027_Kaizu_TCA422_515x515,16,15,0.06666666666666667,0.0625,0.0,0.967741935483871
img024_20201027_Kaizu_TCA422_515x515,30,28,0.07142857142857142,0.06666666666666667,0.0,0.9655172413793104
img025_20201027_Kaizu_TCA422_515x515,28,27,0.037037037037037035,0.03571428571428571,0.0,0.9818181818181818
img030_20201027_Kaizu_TCA422_515x515,26,23,0.13043478260869565,0.11538461538461539,0.0,0.9387755102040817
