image_id,predicted_count,actual_count,count_error,fdr,fnr,f1
img000_20201027_Kaizu_TCA422_515x515,31,26,0.19230769230769232,0.1935483870967742,0.038461538461538464,0.8771929824561403
img002_20201027_Kaizu_TCA422_515x515,28,25,0.12,0.17857142857142858,0.08,0.8679245283018868
img003_20201027_Kaizu_TCA422_515x515,35,28,0.25,0.22857142857142856,0.03571428571428571,0.8571428571428571
img004_20201027_Kaizu_TCA422_515x515,28,24,0.16666666666666666,0.14285714285714285,0.0,0.9230769230769231
img005_20201027_Kaizu_TCA422_515x515,25,22,0.13636363636363635,0.12,0.0,0.9361702127659575
img006_20201027_Kaizu_TCA422_515x515,32,29,0.10344827586206896,0.125,0.034482758620689655,0.9180327868852459
img007_20201027_Kaizu_TCA422_515x515,34,29,0.1724137931034483,0.14705882352941177,0.0,0.9206349206349206
img008_20201027_Kaizu_TCA422_515x515,33,27,0.2222222222222222,0.18181818181818182,0.0,0.9
img011_20201027_Kaizu_TCA422_515x515,31,28,0.10714285714285714,0.0967741935483871,0.0,0.9491525423728814
img012_20201027_Kaizu_TCA422_515x515,32,27,0.18518518518518517,0.15625,0.0,0.9152542372881356
img013_20201027_Kaizu_TCA422_515x515,34,25,0.36,0.2647058823529412,0.0,0.847457627118644
img014_20201027_Kaizu_TCA422_515x515,33,26,0.2692307692307692,0.21212121212121213,0.0,0.8813559322033898
img016_20201027_Kaizu_TCA422_515x515,28,24,0.16666666666666666,0.14285714285714285,0.0,0.9230769230769231
img017_20201027_Kaizu_TCA422_515x515,34,30,0.13333333333333333,0.14705882352941177,0.03333333333333333,0.90625
img018_20201027_Kaizu_TCA422_515x515,30,27,0.1111111111111111,0.1,0.0,0.9473684210526315
img021_20201027_Kaizu_TCA422_515x515,31,26,0.19230769230769232,0.1935483870967742,0.038461538461538464,0.8771929824561403
img022_20201027_Kaizu_TCA422_515x515,29,24,0.20833333333333334,0.1724137931034483,0.0,0.9056603773584906
img023_20201027_Kaizu_TCA422_515x515,19,15,0.26666666666666666,0.21052631578947367,0.0,0.8823529411764706
img024_20201027_Kaizu_TCA422_515x515,31,28,0.10714285714285714,0.0967741935483871,0.0,0.9491525423728814
img025_20201027_Kaizu_TCA422_515x515,36,27,0.3333333333333333,0.25,0.0,0.8571428571428571
img030_20201027_Kaizu_TCA422_515x515,28,23,0.21739130434782608,0.17857142857142858,0.0,0.9019607843137255
img031_20201027_Kaizu_TCA422_515x515,24,19,0.2631578947368421,0.20833333333333334,0.0,0.8837209302325582
img032_20201027_Kaizu_OkinaSP_515x515,34,27,0.25925925925925924,0.20588235294117646,0.0,0.8852459016393442
img033_20201027_Kaizu_TCA422_515x515,26,26,0.0,0.038461538461538464,0.038461538461538464,0.9615384615384616
img034_20201027_Kaizu_TCA422_515x515,36,30,0.2,0.16666666666666666,0.0,0.9090909090909091
img036_20201027_Kaizu_TCA422_515x515,25,21,0.19047619047619047,0.16,0.0,0.9130434782608695
img037_20201027_Kaizu_OkinaSP_515x515,31,27,0.14814814814814814,0.12903225806451613,0.0,0.9310344827586207
img038_20201027_Kaizu_OkinaSP_515x515,34,30,0.13333333333333333,0.14705882352941177,0.03333333333333333,0.90625
img040_20201027_Kaizu_OkinaSP_515x515,36,29,0.2413793103448276,0.19444444444444445,0.0,0.8923076923076924
img042_20201027_Kaizu_TCA422_515x515,19,17,0.11764705882352941,0.10526315789473684,0.0,0.9444444444444444
img044_20201027_Kaizu_OkinaSP_515x515,31,24,0.2916666666666667,0.22580645161290322,0.0,0.8727272727272727
img047_20201027_Kaizu_OkinaSP_515x515,29,24,0.20833333333333334,0.1724137931034483,0.0,0.9056603773584906
img048_20201027_Kaizu_OkinaSP_515x515,28,25,0.12,0.10714285714285714,0.0,0.9433962264150944
img049_20201027_Kaizu_OkinaSP_515x515,31,26,0.19230769230769232,0.1935483870967742,0.038461538461538464,0.8771929824561403
img050_20201027_Kaizu_OkinaSP_515x515,31,24,0.2916666666666667,0.22580645161290322,0.0,0.8727272727272727
img052_20201027_Kaizu_OkinaSP_515x515,27,25,0.08,0.07407407407407407,0.0,0.9615384615384616
img053_20201027_Kaizu_OkinaSP_515x515,34,28,0.21428571428571427,0.17647058823529413,0.0,0.9032258064516129
img054_20201027_Kaizu_OkinaSP_515x515,35,26,0.34615384615384615,0.2857142857142857,0.038461538461538464,0.819672131147541
img055_20201027_Kaizu_OkinaSP_515x515,33,29,0.13793103448275862,0.12121212121212122,0.0,0.9354838709677419
img057_20201027_Kaizu_OkinaSP_515x515,32,27,0.18518518518518517,0.15625,0.0,0.9152542372881356
img059_20201027_Kaizu_OkinaSP_515x515,19,13,0.46153846153846156,0.3157894736842105,0.0,0.8125
img060_20201027_Kaizu_TCA422_515x515,32,26,0.23076923076923078,0.1875,0.0,0.896551724137931
img063_20201027_Kaizu_TCA422_515x515,35,29,0.20689655172413793,0.17142857142857143,0.0,0.90625
img064_20201027_Kaizu_TCA422_515x515,38,30,0.26666666666666666,0.21052631578947367,0.0,0.8823529411764706
img066_20201027_Kaizu_TCA422_515x515,37,32,0.15625,0.16216216216216217,0.03125,0.8985507246376812
img067_20201027_Kaizu_TCA422_515x515,35,29,0.20689655172413793,0.17142857142857143,0.0,0.90625
img069_20201027_Kaizu_TCA422_515x515,35,29,0.20689655172413793,0.2,0.034482758620689655,0.875
img071_20201027_Kaizu_TCA422_515x515,38,32,0.1875,0.18421052631578946,0.03125,0.8857142857142857
img073_20201027_Kaizu_TCA422_515x515,34,25,0.36,0.2647058823529412,0.0,0.847457627118644
img074_20201027_Kaizu_TCA422_515x515,33,29,0.13793103448275862,0.12121212121212122,0.0,0.9354838709677419
img077_20201027_Kaizu_TCA422_515x515,38,29,0.3103448275862069,0.23684210526315788,0.0,0.8656716417910447
img078_20201027_Kaizu_TCA422_515x515,35,27,0.2962962962962963,0.22857142857142856,0.0,0.8709677419354839
img079_20201027_Kaizu_TCA422_515x515,27,26,0.038461538461538464,0.037037037037037035,0.0,0.9811320754716981
img081_20201027_Kaizu_TCA422_900x900,14,14,0.0,0.07142857142857142,0.07142857142857142,0.9285714285714286
img082_20201027_Kaizu_TCA422_900x900,87,79,0.10126582278481013,0.13793103448275862,0.05063291139240506,0.9036144578313253
img085_20201027_Kaizu_TCA422_900x900,68,65,0.046153846153846156,0.08823529411764706,0.046153846153846156,0.9323308270676691
img086_20201027_Kaizu_TCA422_900x900,11,9,0.2222222222222222,0.18181818181818182,0.0,0.9
img087_20201027_Kaizu_TCA422_900x900,61,56,0.08928571428571429,0.11475409836065574,0.03571428571428571,0.9230769230769231
img088_20201027_Kaizu_TCA422_900x900,86,75,0.14666666666666667,0.13953488372093023,0.013333333333333334,0.9192546583850931
img090_20201027_Kaizu_TCA422_900x900,85,77,0.1038961038961039,0.10588235294117647,0.012987012987012988,0.9382716049382716
img094_20201027_Kaizu_TCA422_900x900,65,60,0.08333333333333333,0.07692307692307693,0.0,0.96
img095_20201027_Kaizu_TCA422_900x900,84,76,0.10526315789473684,0.14285714285714285,0.05263157894736842,0.9
img098_20201027_Kaizu_TCA422_900x900,84,79,0.06329113924050633,0.08333333333333333,0.02531645569620253,0.9447852760736196
img099_20201027_Kaizu_TCA422_900x900,80,74,0.08108108108108109,0.1125,0.04054054054054054,0.922077922077922
img100_20201027_Kaizu_TCA422_900x900,81,74,0.0945945945945946,0.09876543209876543,0.013513513513513514,0.9419354838709677
img102_20201027_Kaizu_TCA422_900x900,83,78,0.0641025641025641,0.0963855421686747,0.038461538461538464,0.9316770186335404
img103_20201027_Kaizu_TCA422_900x900,87,75,0.16,0.14942528735632185,0.013333333333333334,0.9135802469135802
img104_20201027_Kaizu_TCA422_900x900,72,68,0.058823529411764705,0.1388888888888889,0.08823529411764706,0.8857142857142857
img105_20201027_Kaizu_TCA422_900x900,81,70,0.15714285714285714,0.13580246913580246,0.0,0.9271523178807947
img106_20201027_Kaizu_TCA422_900x900,89,79,0.12658227848101267,0.11235955056179775,0.0,0.9404761904761905
img107_20201027_Kaizu_TCA422_900x900,68,66,0.030303030303030304,0.058823529411764705,0.030303030303030304,0.9552238805970149
img108_20210916_Kaizu_OkinaSP_550x550,14,13,0.07692307692307693,0.07142857142857142,0.0,0.9629629629629629
img109_20210916_Kaizu_OkinaSP_550x550,12,12,0.0,0.0,0.0,1.0
img112_20210916_Kaizu_OkinaSP_550x550,14,12,0.16666666666666666,0.14285714285714285,0.0,0.9230769230769231
img113_20210916_Kaizu_OkinaSP_550x550,11,11,0.0,0.0,0.0,1.0
img114_20210916_Kaizu_OkinaSP_550x550,11,11,0.0,0.0,0.0,1.0
img115_20210916_Kaizu_OkinaSP_550x550,7,7,0.0,0.0,0.0,1.0
img117_20210916_Kaizu_OkinaSP_550x550,12,11,0.09090909090909091,0.08333333333333333,0.0,0.9565217391304348
img118_20210916_Sunomata_TCA422_550x550,12,12,0.0,0.0,0.0,1.0
