image_id,predicted_count,actual_count,count_error,fdr,fnr,f1
img000_20201027_Kaizu_TCA422_515x515,23,26,-0.11538461538461539,0.0,0.11538461538461539,0.9387755102040817
img002_20201027_Kaizu_TCA422_515x515,19,25,-0.24,0.0,0.24,0.8636363636363636
img003_20201027_Kaizu_TCA422_515x515,25,28,-0.10714285714285714,0.0,0.10714285714285714,0.9433962264150944
img004_20201027_Kaizu_TCA422_515x515,24,24,0.0,0.0,0.0,1.0
img005_20201027_Kaizu_TCA422_515x515,21,22,-0.045454545454545456,0.047619047619047616,0.09090909090909091,0.9302325581395349
img006_20201027_Kaizu_TCA422_515x515,24,29,-0.1724137931034483,0.0,0.1724137931034483,0.9056603773584906
img007_20201027_Kaizu_TCA422_515x515,27,29,-0.06896551724137931,0.037037037037037035,0.10344827586206896,0.9285714285714286
img008_20201027_Kaizu_TCA422_515x515,25,27,-0.07407407407407407,0.04,0.1111111111111111,0.9230769230769231
img011_20201027_Kaizu_TCA422_515x515,25,28,-0.10714285714285714,0.0,0.10714285714285714,0.9433962264150944
img012_20201027_Kaizu_TCA422_515x515,24,27,-0.1111111111111111,0.041666666666666664,0.14814814814814814,0.9019607843137255
img013_20201027_Kaizu_TCA422_515x515,23,25,-0.08,0.0,0.08,0.9583333333333334
img014_20201027_Kaizu_TCA422_515x515,25,26,-0.038461538461538464,0.0,0.038461538461538464,0.9803921568627451
img016_20201027_Kaizu_TCA422_515x515,20,24,-0.16666666666666666,0.0,0.16666666666666666,0.9090909090909091
img017_20201027_Kaizu_TCA422_515x515,27,30,-0.1,0.0,0.1,0.9473684210526315
img018_20201027_Kaizu_TCA422_515x515,26,27,-0.037037037037037035,0.0,0.037037037037037035,0.9811320754716981
img021_20201027_Kaizu_TCA422_515x515,23,26,-0.11538461538461539,0.043478260869565216,0.15384615384615385,0.8979591836734694
img022_20201027_Kaizu_TCA422_515x515,21,24,-0.125,0.0,0.125,0.9333333333333333
img023_20201027_Kaizu_TCA422_515x515,13,15,-0.13333333333333333,0.0,0.13333333333333333,0.9285714285714286
img024_20201027_Kaizu_TCA422_515x515,24,28,-0.14285714285714285,0.0,0.14285714285714285,0.9230769230769231
img025_20201027_Kaizu_TCA422_515x515,26,27,-0.037037037037037035,0.0,0.037037037037037035,0.9811320754716981
img030_20201027_Kaizu_TCA422_515x515,19,23,-0.17391304347826086,0.0,0.17391304347826086,0.9047619047619048
img031_20201027_Kaizu_TCA422_515x515,19,19,0.0,0.0,0.0,1.0
