epoch,train_loss_mean,val_loss,learning_rate,val_map50,val_map50_95,selection_metric,selection_value,is_best,elapsed_seconds,images_seen,images_trained,images_skipped
1,2.523196095228195,1.9197780291239421,0.001,0.0,0.0,val_map_50_95,0.0,true,24.53803949430585,320,320,0
2,1.8208587110042571,1.5943309466044109,0.001,0.18331250030590238,0.052992907195641176,val_map_50_95,0.052992907195641176,true,39.566040605306625,320,320,0
3,1.5098318099975585,1.2994521061579387,0.001,0.6567455176460925,0.23891457322685472,val_map_50_95,0.23891457322685472,true,54.45997742936015,320,320,0
4,1.2489407181739807,1.1186107794443767,0.001,0.8179849571169143,0.3499980264482091,val_map_50_95,0.3499980264482091,true,68.1189874149859,320,320,0
5,1.1190407395362854,0.9761847058931986,0.001,0.8508032472377176,0.4236569347154081,val_map_50_95,0.4236569347154081,true,81.55805717781186,320,320,0
6,1.0205605030059814,0.9342201153437296,0.001,0.8735507301465433,0.4429897972988332,val_map_50_95,0.4429897972988332,true,96.49271181970835,320,320,0
7,0.9710409075021744,0.8802282611529032,0.001,0.886827810758021,0.46925922515804874,val_map_50_95,0.46925922515804874,true,109.58820166438818,320,320,0
8,0.9422131896018981,0.8350458343823751,0.001,0.9085177657576345,0.4940950524648895,val_map_50_95,0.4940950524648895,true,123.53199383616447,320,320,0
9,0.8910647690296173,0.8122644424438477,0.001,0.9200172185378991,0.502983019043232,val_map_50_95,0.502983019043232,true,137.0500023700297,320,320,0
10,0.8828023880720138,0.8175933162371317,0.001,0.9114951252809416,0.5038790650826904,val_map_50_95,0.5038790650826904,true,150.0329753756523,320,320,0
11,0.8511960804462433,0.784092923005422,0.001,0.9131659329298261,0.514751502923808,val_map_50_95,0.514751502923808,true,163.41298987343907,320,320,0
12,0.8367919921875,0.7618876496950785,0.001,0.921890676255066,0.5260097800854512,val_map_50_95,0.5260097800854512,true,176.12611229345202,320,320,0
13,0.8306784838438034,0.7620168129603068,0.001,0.9229811093521173,0.5329237285325327,val_map_50_95,0.5329237285325327,true,189.71304872259498,320,320,0
14,0.7980452924966812,0.7426253358523051,0.001,0.9238880313249629,0.5345451480793648,val_map_50_95,0.5345451480793648,true,204.21414471417665,320,320,0
15,0.7939944297075272,0.7271236379941305,0.001,0.9334457152005079,0.5410199292839304,val_map_50_95,0.5410199292839304,true,217.2598826661706,320,320,0
16,0.8274387151002884,0.7265589634577433,0.001,0.9238575234969274,0.5462442211678553,val_map_50_95,0.5462442211678553,true,235.86766231432557,320,320,0
17,0.7877769708633423,0.7180368502934774,0.001,0.9242739998578768,0.5436797144741146,val_map_50_95,0.5436797144741146,false,247.58538034930825,320,320,0
18,0.7891148000955581,0.7206490834554037,0.001,0.9331588299923738,0.5488796291862,val_map_50_95,0.5488796291862,true,263.65300989151,320,320,0
19,0.7897075563669205,0.7259212732315063,0.001,0.9337447455244343,0.5329253218563607,val_map_50_95,0.5329253218563607,false,275.8470363467932,320,320,0
20,0.7784762918949127,0.7061678171157837,0.001,0.9246662568100809,0.5395080410324488,val_map_50_95,0.5395080410324488,false,287.817030929029,320,320,0
21,0.7642914801836014,0.7050309379895529,0.001,0.9344607964189884,0.5488618250813461,val_map_50_95,0.5488618250813461,false,299.77105901762843,320,320,0
22,0.7499250918626785,0.6969797611236572,0.001,0.933849320645359,0.5513522841448384,val_map_50_95,0.5513522841448384,true,313.18997161090374,320,320,0
23,0.7587420046329498,0.6963492830594381,0.001,0.9340953825692953,0.550386840861719,val_map_50_95,0.550386840861719,false,325.905792735517,320,320,0
24,0.7518935143947602,0.6790042320887247,0.001,0.9352617551649981,0.5625578052756938,val_map_50_95,0.5625578052756938,true,338.80721440911293,320,320,0
25,0.7379629105329514,0.6965769728024801,0.001,0.9255333084285058,0.5511371685575067,val_map_50_95,0.5511371685575067,false,350.7526358626783,320,320,0
26,0.7466547638177872,0.6744928956031799,0.001,0.9347542667878836,0.5650252463390902,val_map_50_95,0.5650252463390902,true,364.263051353395,320,320,0
27,0.7372153729200364,0.6659109989802042,0.001,0.9359055968428173,0.5631160433995115,val_map_50_95,0.5631160433995115,false,376.0106029957533,320,320,0
28,0.7329873263835907,0.6799898743629456,0.001,0.9337780658690654,0.5574873524050025,val_map_50_95,0.5574873524050025,false,387.88851577043533,320,320,0
29,0.7241518020629882,0.6859572927157084,0.001,0.9341950719679213,0.5477779267399777,val_map_50_95,0.5477779267399777,false,399.7819856777787,320,320,0
30,0.7195169985294342,0.6772394378980001,0.001,0.9438849364085773,0.5558384306240189,val_map_50_95,0.5558384306240189,false,411.6062062457204,320,320,0
31,0.7137878000736236,0.6558480858802795,0.001,0.9442731310413428,0.5674061865584109,val_map_50_95,0.5674061865584109,true,424.5190504975617,320,320,0
32,0.7297938942909241,0.676309068997701,0.001,0.9348218533817394,0.5523639881041221,val_map_50_95,0.5523639881041221,false,436.2582050077617,320,320,0
33,0.7166911274194717,0.6592019399007162,0.001,0.9347623772501182,0.5706954313083304,val_map_50_95,0.5706954313083304,true,449.4883726797998,320,320,0
34,0.7110793828964234,0.6713515917460123,0.001,0.9346998566672606,0.5498165328538628,val_map_50_95,0.5498165328538628,false,461.51110151410103,320,320,0
35,0.7052961498498916,0.6438768903414408,0.001,0.9349979455646664,0.5726860381445442,val_map_50_95,0.5726860381445442,true,475.10398291423917,320,320,0
36,0.6848600447177887,0.6493491729100546,0.001,0.9349281354436302,0.5650528486250209,val_map_50_95,0.5650528486250209,false,486.98697352036834,320,320,0
37,0.7027649194002151,0.654704213142395,0.001,0.9358729967307874,0.5758030572703172,val_map_50_95,0.5758030572703172,true,501.18705340847373,320,320,0
38,0.704867485165596,0.6388067007064819,0.001,0.9352323350496292,0.5765858921513382,val_map_50_95,0.5765858921513382,true,514.2540480196476,320,320,0
39,0.7010886460542679,0.6411171952883402,0.001,0.9443145023435872,0.5767730108290874,val_map_50_95,0.5767730108290874,true,527.0870267748833,320,320,0
40,0.6982593297958374,0.6426793138186137,0.001,0.9451790447937899,0.577488881879958,val_map_50_95,0.577488881879958,true,540.0555224902928,320,320,0
41,0.7051162034273147,0.6343899965286255,0.001,0.9356586481966991,0.5744741077740056,val_map_50_95,0.5744741077740056,false,551.8194862566888,320,320,0
42,0.6946619719266891,0.6444240808486938,0.001,0.9358296287775947,0.5759710050583325,val_map_50_95,0.5759710050583325,false,565.7110421955585,320,320,0
43,0.6921520203351974,0.6674800316492716,0.001,0.9440302287811492,0.5383367675869922,val_map_50_95,0.5383367675869922,false,577.5238642655313,320,320,0
44,0.6994855731725693,0.6447272102038065,0.001,0.9450099998162507,0.573929949852457,val_map_50_95,0.573929949852457,false,589.4689816050231,320,320,0
45,0.6908093124628067,0.6491178274154663,0.001,0.9353338706238817,0.5647124118587964,val_map_50_95,0.5647124118587964,false,601.4385270178318,320,320,0
46,0.6783208847045898,0.6331994533538818,0.001,0.9441357506106165,0.5780410784652077,val_map_50_95,0.5780410784652077,true,614.5157872326672,320,320,0
47,0.6868993014097213,0.6206250985463461,0.001,0.9357302540383281,0.5781455668020407,val_map_50_95,0.5781455668020407,true,627.6440104544163,320,320,0
48,0.7027990907430649,0.6345258951187134,0.001,0.9446990210221119,0.5754809466947011,val_map_50_95,0.5754809466947011,false,639.8051816001534,320,320,0
49,0.678068533539772,0.676193376382192,0.001,0.9443152162291795,0.5323575578542206,val_map_50_95,0.5323575578542206,false,652.2670436054468,320,320,0
50,0.6860245823860168,0.6233664751052856,0.001,0.945033517039967,0.5752355449848663,val_map_50_95,0.5752355449848663,false,664.4043659195304,320,320,0
51,0.6715461134910583,0.6364073157310486,0.001,0.9448704549450804,0.564894158271182,val_map_50_95,0.564894158271182,false,676.4861864484847,320,320,0
52,0.67013278901577,0.6338392496109009,0.001,0.9448835385232428,0.5699466901388207,val_map_50_95,0.5699466901388207,false,688.4789788238704,320,320,0
53,0.6665391087532043,0.6257895231246948,0.001,0.9452898376086385,0.5837188076243827,val_map_50_95,0.5837188076243827,true,701.7450463548303,320,320,0
54,0.6496062695980072,0.6138804952303568,0.001,0.9453416591054689,0.5865555592684915,val_map_50_95,0.5865555592684915,true,714.6931926980615,320,320,0
55,0.6791482865810394,0.6166394154230753,0.001,0.9462698229336797,0.5890191149164061,val_map_50_95,0.5890191149164061,true,727.9600444957614,320,320,0
56,0.6569521427154541,0.6405993501345316,0.001,0.9458033822474963,0.5664603026348698,val_map_50_95,0.5664603026348698,false,740.1039791740477,320,320,0
57,0.6702399492263794,0.6438239812850952,0.001,0.9454198504733278,0.5514083775016293,val_map_50_95,0.5514083775016293,false,752.1439937017858,320,320,0
58,0.6652442574501037,0.6064278682072958,0.001,0.9454980912613931,0.5866253457080784,val_map_50_95,0.5866253457080784,false,764.1414516940713,320,320,0
59,0.671606895327568,0.6157853007316589,0.001,0.9460863472964514,0.5835370746248119,val_map_50_95,0.5835370746248119,false,777.0735282860696,320,320,0
60,0.6673691898584366,0.6214642922083536,0.001,0.9549228809904367,0.5741665615891122,val_map_50_95,0.5741665615891122,false,789.2369015067816,320,320,0
61,0.65472711622715,0.6146059234937032,0.001,0.9452160410678995,0.5713754609796818,val_map_50_95,0.5713754609796818,false,805.1670408323407,320,320,0
62,0.6743479043245315,0.6046914060910543,0.001,0.9459307475956586,0.5921972559169066,val_map_50_95,0.5921972559169066,true,824.3836586102843,320,320,0
63,0.6673908352851867,0.6118709643681844,0.001,0.946014162920857,0.5901423803745021,val_map_50_95,0.5901423803745021,false,836.291651584208,320,320,0
