epoch,train_loss_mean,val_loss,learning_rate,val_map50,val_map50_95,selection_metric,selection_value,is_best,elapsed_seconds,images_seen,images_trained,images_skipped
1,3.2862299999999998,2.16016,0.00019,0.04795,0.01301,ultralytics_fitness,0.016504,false,11.9229,320,320,0
2,2.43268,1.9875,0.00039,0.0849,0.0266,ultralytics_fitness,0.03243,false,22.5309,320,320,0
3,2.15965,1.7872299999999999,0.00059,0.11846,0.04565,ultralytics_fitness,0.052931000000000006,false,32.8801,320,320,0
4,2.00453,1.7987600000000001,0.00079,0.14272,0.05096,ultralytics_fitness,0.060136,false,42.8545,320,320,0
5,1.83806,1.59836,0.00099,0.2599,0.11661,ultralytics_fitness,0.130939,false,52.7039,320,320,0
6,1.7329400000000001,1.56534,0.001,0.36057,0.16195,ultralytics_fitness,0.18181200000000003,false,62.5116,320,320,0
7,1.63409,1.52551,0.001,0.46543,0.21685,ultralytics_fitness,0.241708,false,72.6031,320,320,0
8,1.5952700000000002,1.46451,0.001,0.57199,0.28169,ultralytics_fitness,0.31072,false,82.4322,320,320,0
9,1.53444,1.42628,0.001,0.63827,0.31942,ultralytics_fitness,0.35130500000000003,false,92.3912,320,320,0
10,1.48285,1.39065,0.001,0.70499,0.3609,ultralytics_fitness,0.395309,false,102.086,320,320,0
11,1.4226499999999997,1.3218999999999999,0.001,0.77604,0.42158,ultralytics_fitness,0.45702600000000004,false,111.711,320,320,0
12,1.38463,1.2845499999999999,0.001,0.83119,0.4532,ultralytics_fitness,0.490999,false,121.542,320,320,0
13,1.33121,1.25455,0.001,0.86787,0.46742,ultralytics_fitness,0.507465,false,131.345,320,320,0
14,1.28578,1.21376,0.001,0.89392,0.49108,ultralytics_fitness,0.5313640000000001,false,140.895,320,320,0
15,1.24163,1.17114,0.001,0.91034,0.5095,ultralytics_fitness,0.549584,false,150.642,320,320,0
16,1.22281,1.1847400000000001,0.001,0.8872,0.48341,ultralytics_fitness,0.5237890000000001,false,160.506,320,320,0
17,1.19748,1.16852,0.001,0.9001,0.4947,ultralytics_fitness,0.5352399999999999,false,169.956,320,320,0
18,1.17292,1.11175,0.001,0.94425,0.53971,ultralytics_fitness,0.580164,false,179.25,320,320,0
