epoch,train_loss_mean,val_loss,learning_rate,val_map50,val_map50_95,selection_metric,selection_value,is_best,elapsed_seconds,images_seen,images_trained,images_skipped
1,5.879242634773254,5.2492218017578125,0.001,0.020881427238102972,0.009464686132170374,val_map_50_95,0.009464686132170374,true,20.569141503423452,320,320,0
2,4.555776119232178,4.319080670674642,0.001,0.17135595360195,0.06140771601656202,val_map_50_95,0.06140771601656202,true,30.76500191166997,320,320,0
3,4.041935443878174,3.991546392440796,0.001,0.2936973069091749,0.11661896420590533,val_map_50_95,0.11661896420590533,true,40.01709569245577,320,320,0
4,3.7996885180473328,3.839195887247721,0.001,0.3863987173760566,0.1552680405406229,val_map_50_95,0.1552680405406229,true,48.259997729212046,320,320,0
5,3.5995466470718385,3.670113484064738,0.001,0.39022124839997835,0.16541371164793228,val_map_50_95,0.16541371164793228,true,55.78395327553153,320,320,0
6,3.520472025871277,3.5622053146362305,0.001,0.42003591427668246,0.18053676528916063,val_map_50_95,0.18053676528916063,true,63.21900574490428,320,320,0
7,3.4151804447174072,3.4888888200124106,0.001,0.41400979302070545,0.18178551563834858,val_map_50_95,0.18178551563834858,true,70.45806179568172,320,320,0
8,3.302531564235687,3.3885265986124673,0.001,0.43274430168192535,0.19547999822063486,val_map_50_95,0.19547999822063486,true,77.80597371980548,320,320,0
9,3.1928545951843263,3.3107922077178955,0.001,0.4337643790219477,0.19809611866273227,val_map_50_95,0.19809611866273227,true,85.14699042961001,320,320,0
10,3.1610143899917604,3.244227409362793,0.001,0.43646115797903706,0.20513423358402255,val_map_50_95,0.20513423358402255,true,92.30594741925597,320,320,0
11,3.0743833661079405,3.1727498372395835,0.001,0.42735244713663506,0.2049121715702966,val_map_50_95,0.2049121715702966,false,99.27397767826915,320,320,0
12,3.066002297401428,3.1487976710001626,0.001,0.43695695900693676,0.21143278688800937,val_map_50_95,0.21143278688800937,true,107.05595787987113,320,320,0
13,2.986323297023773,3.0775814056396484,0.001,0.4373273493447814,0.21495542520987468,val_map_50_95,0.21495542520987468,true,114.31496471911669,320,320,0
14,3.0205724000930787,3.0739665826161704,0.001,0.43899844299354784,0.21689583378341393,val_map_50_95,0.21689583378341393,true,121.58711406216025,320,320,0
15,2.8947943449020386,3.031644821166992,0.001,0.43001157835198534,0.21735476368810835,val_map_50_95,0.21735476368810835,true,128.77397494763136,320,320,0
16,2.9213688373565674,2.970284859339396,0.001,0.43070032800497154,0.21917985792136127,val_map_50_95,0.21917985792136127,true,135.9480979256332,320,320,0
17,2.8541897535324097,2.99141534169515,0.001,0.44950729465926886,0.22702730735754037,val_map_50_95,0.22702730735754037,true,143.1929321847856,320,320,0
18,2.8388445496559145,2.9245296319325766,0.001,0.42178581200987936,0.22095262838815302,val_map_50_95,0.22095262838815302,false,150.27699669077992,320,320,0
19,2.781373679637909,2.941124359766642,0.001,0.4494993133011851,0.23066313380505668,val_map_50_95,0.23066313380505668,true,157.33832981064916,320,320,0
20,2.7679707407951355,2.908164103825887,0.001,0.4407884125934771,0.2296372353784867,val_map_50_95,0.2296372353784867,false,164.34397181868553,320,320,0
21,2.7579349756240843,2.839078982671102,0.001,0.43146187367289224,0.2260447014498579,val_map_50_95,0.2260447014498579,false,171.38798880577087,320,320,0
22,2.744994378089905,2.9180384476979575,0.001,0.46010467169039776,0.2386988550760973,val_map_50_95,0.2386988550760973,true,178.64403312653303,320,320,0
23,2.7276090502738954,2.836160103480021,0.001,0.45117155410119336,0.23619536207533098,val_map_50_95,0.23619536207533098,false,185.78496146574616,320,320,0
