epoch,train_loss_mean,val_loss,learning_rate,val_map50,val_map50_95,selection_metric,selection_value,is_best,elapsed_seconds,images_seen,images_trained,images_skipped
1,7.524900000000001,5.99863,0.00019,0.31792,0.14582,ultralytics_fitness,0.16303,false,6.77595,320,320,0
2,5.525790000000001,5.20426,0.00039,0.83788,0.39793,ultralytics_fitness,0.441925,false,12.4594,320,320,0
3,4.00029,3.81861,0.00059,0.95369,0.52448,ultralytics_fitness,0.5674009999999999,false,18.0931,320,320,0
4,3.39283,3.26866,0.00079,0.96701,0.5618,ultralytics_fitness,0.602321,false,23.5265,320,320,0
5,3.16201,3.23179,0.00099,0.97294,0.5716,ultralytics_fitness,0.611734,false,28.9692,320,320,0
6,3.0182400000000005,2.88397,0.001,0.97831,0.6426,ultralytics_fitness,0.676171,false,34.4239,320,320,0
7,2.88885,2.77358,0.001,0.97965,0.66734,ultralytics_fitness,0.698571,false,40.2756,320,320,0
8,2.8230700000000004,2.7664600000000004,0.001,0.97967,0.66674,ultralytics_fitness,0.698033,false,45.6864,320,320,0
9,2.7222999999999997,2.66333,0.001,0.98186,0.69107,ultralytics_fitness,0.7201489999999999,false,51.0183,320,320,0
10,2.66079,2.56705,0.001,0.98561,0.70642,ultralytics_fitness,0.7343390000000001,false,56.3616,320,320,0
11,2.62725,2.45703,0.001,0.98176,0.72379,ultralytics_fitness,0.7495870000000001,false,61.8865,320,320,0
12,2.59939,2.50289,0.001,0.98599,0.71312,ultralytics_fitness,0.740407,false,67.412,320,320,0
13,2.5663600000000004,2.3956299999999997,0.001,0.98479,0.74085,ultralytics_fitness,0.765244,false,72.7173,320,320,0
14,2.5063899999999997,2.41768,0.001,0.98616,0.73531,ultralytics_fitness,0.760395,false,78.0706,320,320,0
15,2.52927,2.37762,0.001,0.98673,0.73979,ultralytics_fitness,0.7644839999999999,false,83.3675,320,320,0
16,2.53932,2.46716,0.001,0.98591,0.72136,ultralytics_fitness,0.747815,false,88.7946,320,320,0
17,2.4843599999999997,2.33139,0.001,0.98682,0.74951,ultralytics_fitness,0.7732410000000001,false,94.0867,320,320,0
18,2.45057,2.30276,0.001,0.98598,0.75626,ultralytics_fitness,0.779232,false,99.6885,320,320,0
19,2.45634,2.3266799999999996,0.001,0.98679,0.75237,ultralytics_fitness,0.775812,false,104.994,320,320,0
