epoch,train_loss_mean,val_loss,learning_rate,val_map50,val_map50_95,selection_metric,selection_value,is_best,elapsed_seconds,images_seen,images_trained,images_skipped
1,5.15759,4.67847,0.00019,0.00759,0.00315,ultralytics_fitness,0.0035940000000000004,false,6.67369,320,320,0
2,4.778700000000001,4.55144,0.00039,0.01203,0.00419,ultralytics_fitness,0.004974,false,12.1004,320,320,0
3,4.43239,4.33312,0.00059,0.17586,0.06808,ultralytics_fitness,0.078858,false,17.3498,320,320,0
4,4.1501,4.13552,0.00079,0.3179,0.1333,ultralytics_fitness,0.15176,false,22.4054,320,320,0
5,3.91872,3.9570100000000004,0.00099,0.39151,0.17608,ultralytics_fitness,0.197623,false,27.4771,320,320,0
6,3.76086,3.75042,0.001,0.46797,0.22949,ultralytics_fitness,0.253338,false,32.5974,320,320,0
7,3.62404,3.51451,0.001,0.49736,0.26021,ultralytics_fitness,0.283925,false,37.9814,320,320,0
8,3.53953,3.27131,0.001,0.50472,0.28304,ultralytics_fitness,0.30520800000000003,false,42.8836,320,320,0
9,3.36949,3.1710800000000003,0.001,0.53873,0.30119,ultralytics_fitness,0.324944,false,47.9193,320,320,0
10,3.2153199999999997,3.12204,0.001,0.57431,0.31981,ultralytics_fitness,0.34526,false,53.0052,320,320,0
11,3.1185099999999997,3.00297,0.001,0.60138,0.35048,ultralytics_fitness,0.37557000000000007,false,58.0765,320,320,0
12,3.0636200000000002,3.01226,0.001,0.61604,0.35424,ultralytics_fitness,0.38042,false,63.1145,320,320,0
13,2.9919300000000004,2.94604,0.001,0.63775,0.36591,ultralytics_fitness,0.39309400000000005,false,68.1132,320,320,0
14,2.94769,2.85024,0.001,0.6635,0.38486,ultralytics_fitness,0.41272400000000004,false,73.4071,320,320,0
15,2.88231,2.73619,0.001,0.69158,0.41281,ultralytics_fitness,0.440687,false,78.4882,320,320,0
16,2.8466099999999996,2.85702,0.001,0.71103,0.39594,ultralytics_fitness,0.427449,false,83.6127,320,320,0
17,2.81512,2.8471900000000003,0.001,0.72056,0.4013,ultralytics_fitness,0.433226,false,88.6471,320,320,0
18,2.7839300000000002,2.73109,0.001,0.73412,0.42661,ultralytics_fitness,0.457361,false,93.6284,320,320,0
19,2.72522,2.73749,0.001,0.74963,0.42902,ultralytics_fitness,0.461081,false,98.794,320,320,0
20,2.6718800000000003,2.8037,0.001,0.76522,0.42461,ultralytics_fitness,0.45867100000000005,false,103.946,320,320,0
21,2.66701,2.67768,0.001,0.78102,0.45405,ultralytics_fitness,0.48674700000000004,false,109.237,320,320,0
22,2.6326600000000004,2.71292,0.001,0.7894,0.44793,ultralytics_fitness,0.48207700000000003,false,114.311,320,320,0
23,2.6051800000000003,2.69569,0.001,0.79742,0.44948,ultralytics_fitness,0.484274,false,119.307,320,320,0
24,2.6037999999999997,2.59294,0.001,0.80563,0.476,ultralytics_fitness,0.508963,false,124.33,320,320,0
25,2.54913,2.5505199999999997,0.001,0.81627,0.49076,ultralytics_fitness,0.523311,false,129.446,320,320,0
26,2.56433,2.633,0.001,0.81839,0.46755,ultralytics_fitness,0.502634,false,134.589,320,320,0
27,2.51247,2.6253399999999996,0.001,0.82453,0.46812,ultralytics_fitness,0.503761,false,139.91,320,320,0
28,2.53429,2.5985500000000004,0.001,0.83042,0.47678,ultralytics_fitness,0.5121439999999999,false,144.822,320,320,0
29,2.50214,2.49128,0.001,0.83581,0.50137,ultralytics_fitness,0.534814,false,149.817,320,320,0
30,2.4779299999999997,2.55877,0.001,0.84196,0.48671,ultralytics_fitness,0.522235,false,154.975,320,320,0
31,2.45695,2.52296,0.001,0.84573,0.49755,ultralytics_fitness,0.532368,false,159.834,320,320,0
32,2.43389,2.5168600000000003,0.001,0.85128,0.49319,ultralytics_fitness,0.528999,false,164.74,320,320,0
33,2.4100900000000003,2.50573,0.001,0.85822,0.50234,ultralytics_fitness,0.537928,false,169.969,320,320,0
34,2.3838100000000004,2.46587,0.001,0.86252,0.51154,ultralytics_fitness,0.546638,false,175.133,320,320,0
35,2.3862,2.43496,0.001,0.86817,0.51887,ultralytics_fitness,0.5538000000000001,false,180.359,320,320,0
36,2.39364,2.3191300000000004,0.001,0.87157,0.54407,ultralytics_fitness,0.5768200000000001,false,185.492,320,320,0
37,2.3592,2.32795,0.001,0.87421,0.53039,ultralytics_fitness,0.564772,false,190.461,320,320,0
38,2.3024500000000003,2.22819,0.001,0.87855,0.55892,ultralytics_fitness,0.590883,false,195.406,320,320,0
39,2.30479,2.2327599999999994,0.001,0.88392,0.55712,ultralytics_fitness,0.5898,false,200.582,320,320,0
40,2.28585,2.21852,0.001,0.88886,0.56375,ultralytics_fitness,0.596261,false,205.615,320,320,0
41,2.25079,2.2292899999999998,0.001,0.89305,0.56799,ultralytics_fitness,0.600496,false,210.541,320,320,0
42,2.25462,2.14098,0.001,0.89641,0.57867,ultralytics_fitness,0.610444,false,215.728,320,320,0
43,2.2363399999999998,2.06048,0.001,0.89676,0.60647,ultralytics_fitness,0.6354989999999999,false,220.716,320,320,0
44,2.2165600000000003,2.1179300000000003,0.001,0.8996,0.59248,ultralytics_fitness,0.6231920000000001,false,225.743,320,320,0
45,2.2163899999999996,2.1106800000000003,0.001,0.90355,0.58984,ultralytics_fitness,0.621211,false,230.772,320,320,0
46,2.19757,2.06251,0.001,0.90627,0.59916,ultralytics_fitness,0.6298710000000001,false,235.781,320,320,0
47,2.14878,2.04152,0.001,0.90867,0.60573,ultralytics_fitness,0.636024,false,240.801,320,320,0
48,2.17972,2.1059400000000004,0.001,0.91125,0.59652,ultralytics_fitness,0.627993,false,245.908,320,320,0
49,2.16261,1.98203,0.001,0.91286,0.62411,ultralytics_fitness,0.652985,false,250.9,320,320,0
