epoch,train_loss_mean,val_loss,learning_rate,val_map50,val_map50_95,selection_metric,selection_value,is_best,elapsed_seconds,images_seen,images_trained,images_skipped
1,7.53582,6.47411,0.00019,0.13509,0.05546,ultralytics_fitness,0.06342300000000001,false,5.81156,320,320,0
2,6.42706,4.69497,0.00039,0.60188,0.28519,ultralytics_fitness,0.316859,false,10.8885,320,320,0
3,5.01361,4.62829,0.00059,0.80006,0.33521,ultralytics_fitness,0.38169500000000006,false,15.7223,320,320,0
4,4.35814,4.29433,0.00079,0.88943,0.40868,ultralytics_fitness,0.45675499999999997,false,20.5286,320,320,0
5,3.92396,3.9495199999999997,0.00099,0.93211,0.45631,ultralytics_fitness,0.5038900000000001,false,25.3121,320,320,0
6,3.62112,3.64767,0.001,0.96104,0.52582,ultralytics_fitness,0.569342,false,29.8003,320,320,0
7,3.3834400000000002,3.48648,0.001,0.97043,0.55573,ultralytics_fitness,0.5972,false,34.6244,320,320,0
8,3.30241,3.38214,0.001,0.97477,0.55927,ultralytics_fitness,0.6008200000000001,false,39.2015,320,320,0
9,3.1622500000000002,3.42446,0.001,0.97785,0.55916,ultralytics_fitness,0.601029,false,44.0134,320,320,0
10,3.0810700000000004,3.38364,0.001,0.97964,0.55533,ultralytics_fitness,0.597761,false,48.3875,320,320,0
11,3.0016100000000003,3.0258399999999996,0.001,0.98331,0.6226,ultralytics_fitness,0.658671,false,52.7281,320,320,0
12,2.96753,3.08609,0.001,0.98149,0.61001,ultralytics_fitness,0.6471580000000001,false,57.4221,320,320,0
13,2.8750199999999997,2.9891699999999997,0.001,0.98347,0.62462,ultralytics_fitness,0.6605049999999999,false,61.8044,320,320,0
14,2.82702,2.87702,0.001,0.98546,0.64729,ultralytics_fitness,0.681107,false,66.7332,320,320,0
15,2.77713,2.7655000000000003,0.001,0.9854,0.67093,ultralytics_fitness,0.702377,false,71.4342,320,320,0
16,2.7596600000000002,2.9509,0.001,0.98476,0.63719,ultralytics_fitness,0.6719470000000001,false,76.4436,320,320,0
17,2.72166,2.7949,0.001,0.98357,0.66014,ultralytics_fitness,0.692483,false,80.7923,320,320,0
18,2.67938,2.5894399999999997,0.001,0.98642,0.70183,ultralytics_fitness,0.730289,false,85.1953,320,320,0
19,2.66202,2.6414600000000004,0.001,0.98599,0.68789,ultralytics_fitness,0.7177,false,89.7528,320,320,0
20,2.61583,2.66376,0.001,0.98637,0.6806,ultralytics_fitness,0.711177,false,94.112,320,320,0
21,2.61104,2.52785,0.001,0.98722,0.70983,ultralytics_fitness,0.7375689999999999,false,98.5669,320,320,0
22,2.6074200000000003,2.53849,0.001,0.98733,0.70738,ultralytics_fitness,0.7353750000000001,false,103.329,320,320,0
23,2.5799,2.52904,0.001,0.98778,0.71011,ultralytics_fitness,0.7378770000000001,false,107.799,320,320,0
24,2.5606600000000004,2.4565900000000003,0.001,0.98735,0.72214,ultralytics_fitness,0.748661,false,112.52,320,320,0
25,2.5299899999999997,2.4139,0.001,0.98809,0.73134,ultralytics_fitness,0.757015,false,117.177,320,320,0
26,2.5412600000000003,2.48958,0.001,0.9881,0.71761,ultralytics_fitness,0.744659,false,121.851,320,320,0
27,2.52765,2.4856,0.001,0.98801,0.71814,ultralytics_fitness,0.7451270000000001,false,126.508,320,320,0
28,2.55931,2.39913,0.001,0.98831,0.73416,ultralytics_fitness,0.759575,false,131.055,320,320,0
29,2.50528,2.34193,0.001,0.98824,0.74375,ultralytics_fitness,0.7681990000000001,false,135.535,320,320,0
30,2.47826,2.46624,0.001,0.98895,0.7221,ultralytics_fitness,0.748785,false,140.252,320,320,0
31,2.49179,2.37274,0.001,0.98874,0.74117,ultralytics_fitness,0.765927,false,144.576,320,320,0
32,2.48256,2.4613899999999997,0.001,0.98879,0.72385,ultralytics_fitness,0.7503439999999999,false,148.93,320,320,0
33,2.44992,2.40237,0.001,0.9889,0.73605,ultralytics_fitness,0.761335,false,153.397,320,320,0
34,2.4521,2.4073700000000002,0.001,0.98891,0.73058,ultralytics_fitness,0.756413,false,157.675,320,320,0
35,2.44415,2.42395,0.001,0.98856,0.7271,ultralytics_fitness,0.7532460000000001,false,162.049,320,320,0
36,2.45601,2.41868,0.001,0.98894,0.73003,ultralytics_fitness,0.7559210000000001,false,166.509,320,320,0
37,2.4656000000000002,2.43044,0.001,0.98936,0.73143,ultralytics_fitness,0.7572230000000001,false,170.878,320,320,0
38,2.42368,2.37096,0.001,0.98933,0.7417,ultralytics_fitness,0.7664630000000001,false,175.26,320,320,0
39,2.44122,2.35732,0.001,0.98946,0.74505,ultralytics_fitness,0.769491,false,179.581,320,320,0
40,2.42148,2.37574,0.001,0.98982,0.74506,ultralytics_fitness,0.769536,false,184.238,320,320,0
41,2.41066,2.40474,0.001,0.98959,0.73708,ultralytics_fitness,0.762331,false,188.911,320,320,0
42,2.40535,2.34758,0.001,0.98918,0.74839,ultralytics_fitness,0.7724690000000001,false,193.313,320,320,0
43,2.41765,2.34042,0.001,0.98958,0.74765,ultralytics_fitness,0.7718430000000001,false,197.842,320,320,0
44,2.40409,2.30779,0.001,0.98876,0.75449,ultralytics_fitness,0.777917,false,202.123,320,320,0
45,2.3921799999999998,2.33968,0.001,0.98953,0.74834,ultralytics_fitness,0.772459,false,206.784,320,320,0
46,2.40146,2.27795,0.001,0.98926,0.76074,ultralytics_fitness,0.7835920000000001,false,211.092,320,320,0
47,2.35931,2.31517,0.001,0.98981,0.75364,ultralytics_fitness,0.777257,false,215.719,320,320,0
48,2.3845,2.40212,0.001,0.98881,0.73879,ultralytics_fitness,0.7637919999999999,false,220.178,320,320,0
49,2.38044,2.3165,0.001,0.98987,0.7555,ultralytics_fitness,0.778937,false,224.407,320,320,0
50,2.3929799999999997,2.28069,0.001,0.99,0.76142,ultralytics_fitness,0.784278,false,228.928,320,320,0
51,2.37883,2.27649,0.001,0.98904,0.76203,ultralytics_fitness,0.784731,false,233.691,320,320,0
52,2.39415,2.2756600000000002,0.001,0.98948,0.76446,ultralytics_fitness,0.786962,false,238.526,320,320,0
53,2.37113,2.27793,0.001,0.98979,0.76392,ultralytics_fitness,0.7865070000000001,false,243.281,320,320,0
54,2.3521099999999997,2.3447,0.001,0.98892,0.74956,ultralytics_fitness,0.773496,false,247.534,320,320,0
55,2.36142,2.34103,0.001,0.98943,0.7503,ultralytics_fitness,0.774213,false,251.904,320,320,0
56,2.3739100000000004,2.278,0.001,0.98836,0.76491,ultralytics_fitness,0.787255,false,256.294,320,320,0
57,2.34675,2.31034,0.001,0.98912,0.75636,ultralytics_fitness,0.779636,false,260.987,320,320,0
58,2.3611,2.25162,0.001,0.98919,0.76917,ultralytics_fitness,0.791172,false,265.356,320,320,0
59,2.32286,2.27511,0.001,0.98935,0.76358,ultralytics_fitness,0.786157,false,269.995,320,320,0
60,2.3288900000000003,2.31151,0.001,0.98907,0.75415,ultralytics_fitness,0.7776419999999999,false,274.259,320,320,0
61,2.3409,2.2733999999999996,0.001,0.98919,0.76419,ultralytics_fitness,0.78669,false,278.754,320,320,0
62,2.34082,2.24345,0.001,0.98915,0.77176,ultralytics_fitness,0.793499,false,283.103,320,320,0
63,2.31494,2.25862,0.001,0.98891,0.76602,ultralytics_fitness,0.7883090000000001,false,287.557,320,320,0
64,2.28202,2.2686200000000003,0.001,0.98897,0.76675,ultralytics_fitness,0.7889720000000001,false,292.095,320,320,0
65,2.31502,2.30579,0.001,0.98886,0.75765,ultralytics_fitness,0.7807710000000001,false,296.521,320,320,0
66,2.3064999999999998,2.2322800000000003,0.001,0.98923,0.77699,ultralytics_fitness,0.798214,false,300.765,320,320,0
