epoch,train_loss_mean,val_loss,learning_rate,val_map50,val_map50_95,selection_metric,selection_value,is_best,elapsed_seconds,images_seen,images_trained,images_skipped
1,7.07219,6.353390000000001,0.00019,0.0703,0.02694,ultralytics_fitness,0.031276,false,5.19089,320,320,0
2,6.17929,5.9207399999999994,0.00039,0.31935,0.10936,ultralytics_fitness,0.130359,false,9.43698,320,320,0
3,5.22841,5.2222100000000005,0.00059,0.6666,0.2597,ultralytics_fitness,0.30039,false,13.4601,320,320,0
4,4.47048,4.64508,0.00079,0.81281,0.34231,ultralytics_fitness,0.38936,false,17.3954,320,320,0
5,4.03685,4.27458,0.00099,0.8795,0.40345,ultralytics_fitness,0.451055,false,21.2246,320,320,0
6,3.82177,4.24224,0.001,0.90857,0.40979,ultralytics_fitness,0.459668,false,25.2295,320,320,0
7,3.6807800000000004,4.0833200000000005,0.001,0.93332,0.44324,ultralytics_fitness,0.4922480000000001,false,29.3257,320,320,0
8,3.61558,3.84377,0.001,0.94904,0.48685,ultralytics_fitness,0.533069,false,33.2517,320,320,0
9,3.50516,3.90041,0.001,0.95643,0.48101,ultralytics_fitness,0.528552,false,37.1483,320,320,0
10,3.4069700000000003,3.86974,0.001,0.95864,0.47977,ultralytics_fitness,0.527657,false,41.1068,320,320,0
11,3.3855399999999998,3.4728199999999996,0.001,0.96605,0.55875,ultralytics_fitness,0.59948,false,44.9582,320,320,0
12,3.3768200000000004,3.59195,0.001,0.96639,0.53178,ultralytics_fitness,0.575241,false,48.8555,320,320,0
13,3.3056799999999997,3.53721,0.001,0.96817,0.53447,ultralytics_fitness,0.57784,false,52.653,320,320,0
14,3.27649,3.44634,0.001,0.97023,0.54837,ultralytics_fitness,0.5905560000000001,false,56.4255,320,320,0
15,3.2492099999999997,3.31912,0.001,0.97284,0.57648,ultralytics_fitness,0.616116,false,60.2683,320,320,0
16,3.20409,3.45343,0.001,0.97077,0.54216,ultralytics_fitness,0.585021,false,64.3338,320,320,0
17,3.18065,3.3592899999999997,0.001,0.96913,0.56038,ultralytics_fitness,0.601255,false,68.2245,320,320,0
18,3.1463900000000002,3.1218199999999996,0.001,0.97189,0.61229,ultralytics_fitness,0.64825,false,71.9727,320,320,0
19,3.10566,3.16154,0.001,0.97011,0.59035,ultralytics_fitness,0.6283260000000002,false,75.8376,320,320,0
20,3.0519800000000004,3.16515,0.001,0.97264,0.6021,ultralytics_fitness,0.639154,false,79.7369,320,320,0
21,3.0593899999999996,3.0288899999999996,0.001,0.97278,0.62931,ultralytics_fitness,0.663657,false,83.6221,320,320,0
22,3.03899,3.03862,0.001,0.9731,0.62883,ultralytics_fitness,0.663257,false,87.4853,320,320,0
23,3.01241,2.97845,0.001,0.974,0.63881,ultralytics_fitness,0.6723290000000001,false,91.3588,320,320,0
24,2.99468,2.9028,0.001,0.97563,0.6523,ultralytics_fitness,0.684633,false,95.4085,320,320,0
25,2.95477,2.84367,0.001,0.97581,0.66523,ultralytics_fitness,0.696288,false,99.2408,320,320,0
26,2.9632500000000004,2.8460900000000002,0.001,0.97616,0.66368,ultralytics_fitness,0.6949280000000001,false,103.065,320,320,0
27,2.95196,2.8698500000000005,0.001,0.97577,0.65637,ultralytics_fitness,0.6883100000000001,false,107.04,320,320,0
28,2.9744099999999998,2.82953,0.001,0.97633,0.66313,ultralytics_fitness,0.69445,false,110.886,320,320,0
29,2.91969,2.7849,0.001,0.9787,0.67368,ultralytics_fitness,0.704182,false,114.773,320,320,0
30,2.89343,2.79613,0.001,0.97762,0.67274,ultralytics_fitness,0.7032280000000001,false,118.59,320,320,0
31,2.9054,2.7618,0.001,0.97801,0.68032,ultralytics_fitness,0.7100890000000001,false,122.409,320,320,0
