split,image_id,provenance,digest
train,img000_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img002_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img003_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img004_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img005_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img006_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img007_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img008_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img011_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img012_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img013_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img014_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img016_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img017_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img018_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img021_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img022_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img023_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img024_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img025_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img030_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img031_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img032_20201027_Kaizu_OkinaSP_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img033_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img034_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img036_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img037_20201027_Kaizu_OkinaSP_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img038_20201027_Kaizu_OkinaSP_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img040_20201027_Kaizu_OkinaSP_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
train,img042_20201027_Kaizu_TCA422_515x515,recovered-from-local-data-fold1_yolo,0941e6c3b17f638fc7a343b9537f6369b6d6b55d8d0275afc35883d233b1e13f
